# Title: February 2025 Global Gridded Precipitation
# Units: Millimeters
# Base Period: 1991-2020
# Missing: -9,999.00
Latitude,Longitude,Value,Anomaly,Rank,Mean
-86.25,126.25,0.19,-1.63,13,1.82
-86.25,128.75,0.21,-1.28,14,1.49
-86.25,131.25,0.26,-1.77,14,2.03
-86.25,133.75,0.32,-1.69,15,2.01
-86.25,136.25,0.38,-1.61,13,1.99
-86.25,138.75,0.56,-1.87,17,2.43
-86.25,141.25,0.72,-1.88,16,2.6
-86.25,143.75,0.87,-1.48,18,2.35
-86.25,146.25,1.03,-1.63,19,2.66
-86.25,148.75,1.32,-1.51,18,2.83
-86.25,151.25,1.72,-1.61,18,3.33
-86.25,153.75,2.01,-1.58,18,3.59
-86.25,156.25,2.48,-1.09,20,3.57
-86.25,158.75,2.93,-1.11,19,4.04
-86.25,161.25,3.66,-1.05,20,4.71
-86.25,163.75,4.66,-0.61,22,5.27
-86.25,166.25,5.42,-0.51,20,5.93
-86.25,168.75,6.04,0.04,26,6
-86.25,171.25,6.32,-1,18,7.32
-86.25,173.75,6.85,-0.86,21,7.71
-86.25,176.25,7.07,-3.29,17,10.36
-86.25,178.75,7.24,-3.27,16,10.51
-86.25,181.25,7.69,-3.9,16,11.59
-86.25,183.75,8.29,-4.91,15,13.2
-86.25,186.25,8.71,-5.05,15,13.76
-86.25,188.75,9.24,-4.79,16,14.03
-86.25,191.25,10.5,-3.82,17,14.32
-86.25,193.75,11.58,-2.04,18,13.62
-86.25,196.25,13.02,-0.42,22,13.44
-86.25,198.75,15.56,1.38,28,14.18
-86.25,201.25,13.46,0.88,25,12.58
-86.25,203.75,14.63,1.14,29,13.49
-86.25,206.25,14.43,0.91,28,13.52
-86.25,208.75,14.72,0.91,28,13.81
-86.25,211.25,18.49,2.19,31,16.3
-86.25,213.75,17.71,1.64,31,16.07
-86.25,216.25,17.19,0.32,27,16.87
-86.25,218.75,16.22,-0.25,26,16.47
-86.25,221.25,15.42,-0.83,24,16.25
-86.25,223.75,14.29,-1.7,19,15.99
-86.25,226.25,13.51,-2.04,17,15.55
-86.25,228.75,12.92,-2.85,18,15.77
-86.25,231.25,12.15,-2.28,21,14.43
-86.25,233.75,11.77,-1.15,26,12.92
-86.25,236.25,11.28,-0.85,21,12.13
-86.25,238.75,10.78,-1.11,20,11.89
-86.25,241.25,10.69,-0.62,22,11.31
-86.25,243.75,10.12,-0.61,23,10.73
-86.25,246.25,9.62,0.64,28,8.98
-86.25,248.75,8.66,0.58,26,8.08
-86.25,251.25,7.86,1.54,28,6.32
-86.25,253.75,6.86,0.81,27,6.05
-86.25,256.25,6.38,1.1,30,5.28
-86.25,258.75,6.5,1.95,31,4.55
-86.25,261.25,6.37,2.63,38,3.74
-86.25,263.75,7.15,3.39,39,3.76
-86.25,266.25,7.75,4.8,44,2.95
-86.25,268.75,8.37,5.55,45,2.82
-86.25,271.25,9.25,6.7,47,2.55
-86.25,273.75,9.36,6.75,47,2.61
-86.25,276.25,9.61,6.74,46,2.87
-86.25,278.75,9.47,6.31,47,3.16
-86.25,281.25,9.79,6.27,44,3.52
-86.25,283.75,10.75,7.64,46,3.11
-86.25,286.25,10.51,7.42,46,3.09
-86.25,288.75,10.06,6.88,46,3.18
-86.25,291.25,9.5,6.48,46,3.02
-86.25,293.75,9.2,6.01,45,3.19
-86.25,296.25,8.84,6.1,45,2.74
-86.25,298.75,8.53,5.65,42,2.88
-86.25,301.25,8.16,5.87,45,2.29
-86.25,303.75,8.09,5.88,45,2.21
-86.25,306.25,8.37,6.21,46,2.16
-86.25,308.75,8.53,6.69,46,1.84
-86.25,311.25,8.32,6.69,46,1.63
-86.25,313.75,7.95,6.28,44,1.67
-86.25,316.25,7.6,6,45,1.6
-86.25,318.75,6.94,5.27,44,1.67
-86.25,321.25,5.93,4.13,43,1.8
-86.25,323.75,5.32,3.69,42,1.63
-86.25,326.25,4.69,3.22,41,1.47
-86.25,328.75,4.28,2.34,39,1.94
-86.25,331.25,3.85,2.62,42,1.23
-86.25,333.75,3.39,1.51,36,1.88
-86.25,336.25,2.94,1.59,38,1.35
-86.25,338.75,2.59,1.44,37,1.15
-86.25,341.25,2.13,1.21,36,0.92
-86.25,343.75,1.73,0.6,32,1.13
-86.25,346.25,1.37,0.43,33,0.94
-86.25,348.75,1.17,0.13,33,1.04
-86.25,351.25,0.95,0.17,33,0.78
-86.25,353.75,0.86,0.22,31,0.64
-86.25,356.25,0.72,0.29,32,0.43
-86.25,358.75,0.69,-0.19,28,0.88
-83.75,1.25,0.42,-0.85,25,1.27
-83.75,3.75,0.27,-1.18,21,1.45
-83.75,6.25,0.22,-0.76,22,0.98
-83.75,8.75,0.16,-0.91,24,1.07
-83.75,11.25,0.14,-0.7,21,0.84
-83.75,13.75,0.12,-0.74,22,0.86
-83.75,16.25,0.16,-0.58,26,0.74
-83.75,18.75,0.15,-0.38,27,0.53
-83.75,21.25,0.15,-0.19,25,0.34
-83.75,23.75,0.17,-0.37,28,0.54
-83.75,26.25,0.13,-0.27,26,0.4
-83.75,28.75,0.12,-0.4,24,0.52
-83.75,31.25,0.18,-0.15,27,0.33
-83.75,33.75,0.21,-0.09,29,0.3
-83.75,36.25,0.24,-0.1,28,0.34
-83.75,38.75,0.27,-0.14,27,0.41
-83.75,41.25,0.25,-0.13,28,0.38
-83.75,43.75,0.2,-0.21,27,0.41
-83.75,46.25,0.19,-0.15,27,0.34
-83.75,48.75,0.19,-0.27,28,0.46
-83.75,51.25,0.18,-0.55,27,0.73
-83.75,53.75,0.15,-0.55,27,0.7
-83.75,56.25,0.12,-0.6,26,0.72
-83.75,58.75,0.08,-0.59,25,0.67
-83.75,61.25,0.04,-0.72,23,0.76
-83.75,63.75,0.02,-0.86,21,0.88
-83.75,66.25,0.02,-0.85,22,0.87
-83.75,68.75,0,-0.77,1,0.77
-83.75,71.25,0,-0.65,1,0.65
-83.75,73.75,0,-0.67,1,0.67
-83.75,76.25,0,-0.77,1,0.77
-83.75,78.75,0,-0.85,1,0.85
-83.75,81.25,0,-0.74,1,0.74
-83.75,83.75,0.01,-0.71,18,0.72
-83.75,86.25,0.01,-0.88,17,0.89
-83.75,88.75,0,-0.9,1,0.9
-83.75,91.25,0.01,-0.83,17,0.84
-83.75,93.75,0.04,-0.7,19,0.74
-83.75,96.25,0.06,-0.68,23,0.74
-83.75,98.75,0.1,-0.75,23,0.85
-83.75,101.25,0.16,-0.53,24,0.69
-83.75,103.75,0.21,-0.41,25,0.62
-83.75,106.25,0.26,-0.33,27,0.59
-83.75,108.75,0.32,-0.28,26,0.6
-83.75,111.25,0.38,-0.25,27,0.63
-83.75,113.75,0.43,-0.29,28,0.72
-83.75,116.25,0.49,-0.26,27,0.75
-83.75,118.75,0.66,-0.14,28,0.8
-83.75,121.25,0.8,-0.09,27,0.89
-83.75,123.75,0.82,-0.13,27,0.95
-83.75,126.25,0.78,-0.03,28,0.81
-83.75,128.75,0.92,0.03,29,0.89
-83.75,131.25,0.98,-0.03,28,1.01
-83.75,133.75,1.08,0.09,29,0.99
-83.75,136.25,1.04,-0.19,27,1.23
-83.75,138.75,0.97,-0.3,24,1.27
-83.75,141.25,0.94,-0.61,22,1.55
-83.75,143.75,0.93,-0.97,18,1.9
-83.75,146.25,0.96,-1.03,19,1.99
-83.75,148.75,1.06,-1.21,17,2.27
-83.75,151.25,1.17,-1.38,17,2.55
-83.75,153.75,1.36,-1.84,13,3.2
-83.75,156.25,1.68,-2.45,12,4.13
-83.75,158.75,2.27,-2.7,11,4.97
-83.75,161.25,3.46,-3.31,11,6.77
-83.75,163.75,4.54,-3.36,12,7.9
-83.75,166.25,6.2,-4.13,10,10.33
-83.75,168.75,6.22,-2.72,15,8.94
-83.75,171.25,7.74,-2.96,12,10.7
-83.75,173.75,8.94,-2.29,15,11.23
-83.75,176.25,10.22,-2.36,16,12.58
-83.75,178.75,11.39,-1.27,21,12.66
-83.75,181.25,13.22,-0.56,24,13.78
-83.75,183.75,14.53,0.17,30,14.36
-83.75,186.25,16.19,3.54,38,12.65
-83.75,188.75,16.98,4.91,40,12.07
-83.75,191.25,17.15,5.62,43,11.53
-83.75,193.75,16.62,5.56,43,11.06
-83.75,196.25,16.3,6.23,44,10.07
-83.75,198.75,16.49,6.66,44,9.83
-83.75,201.25,16.99,7.55,44,9.44
-83.75,203.75,17.33,8.38,44,8.95
-83.75,206.25,17.81,8.21,44,9.6
-83.75,208.75,18.85,9.19,44,9.66
-83.75,211.25,24.36,13.07,44,11.29
-83.75,213.75,24.77,13.26,44,11.51
-83.75,216.25,24.69,13.58,44,11.11
-83.75,218.75,23.42,12.3,43,11.12
-83.75,221.25,22.08,11.03,44,11.05
-83.75,223.75,20.02,7.87,43,12.15
-83.75,226.25,18.51,6.62,41,11.89
-83.75,228.75,17.67,5.45,39,12.22
-83.75,231.25,17.96,5.96,42,12
-83.75,233.75,18.43,6.25,43,12.18
-83.75,236.25,19.07,6.95,44,12.12
-83.75,238.75,18.78,7.17,45,11.61
-83.75,241.25,17.83,6.8,45,11.03
-83.75,243.75,16.66,5.17,43,11.49
-83.75,246.25,14.58,4.6,39,9.98
-83.75,248.75,12.54,3.03,35,9.51
-83.75,251.25,10.51,2.33,30,8.18
-83.75,253.75,8.93,1.58,34,7.35
-83.75,256.25,7.16,0.58,28,6.58
-83.75,258.75,6.52,-0.24,24,6.76
-83.75,261.25,6.17,0.77,27,5.4
-83.75,263.75,5.82,1.46,31,4.36
-83.75,266.25,5.71,1.69,32,4.02
-83.75,268.75,6.27,2.31,35,3.96
-83.75,271.25,7.64,3.78,40,3.86
-83.75,273.75,8.65,4.62,40,4.03
-83.75,276.25,9.95,5.59,41,4.36
-83.75,278.75,11.12,6.66,42,4.46
-83.75,281.25,12.57,7.54,43,5.03
-83.75,283.75,14.21,8.65,44,5.56
-83.75,286.25,15.76,9.76,45,6
-83.75,288.75,17.47,11.71,45,5.76
-83.75,291.25,19.43,12.83,45,6.6
-83.75,293.75,20.85,13.98,45,6.87
-83.75,296.25,21.36,14.62,45,6.74
-83.75,298.75,20.11,12.88,45,7.23
-83.75,301.25,17.94,11.21,45,6.73
-83.75,303.75,15.21,8.31,44,6.9
-83.75,306.25,12.64,6.39,44,6.25
-83.75,308.75,11.63,6.31,43,5.32
-83.75,311.25,11.16,5.88,43,5.28
-83.75,313.75,11.03,6.14,42,4.89
-83.75,316.25,10.27,5.7,42,4.57
-83.75,318.75,8.77,4.28,40,4.49
-83.75,321.25,7.69,3.79,37,3.9
-83.75,323.75,6.81,3.41,38,3.4
-83.75,326.25,6.35,2.78,36,3.57
-83.75,328.75,6.44,2.93,34,3.51
-83.75,331.25,5.91,3.06,38,2.85
-83.75,333.75,5.28,2.69,38,2.59
-83.75,336.25,4.43,2.41,39,2.02
-83.75,338.75,3.89,1.9,35,1.99
-83.75,341.25,3.26,1.33,36,1.93
-83.75,343.75,2.62,0.72,33,1.9
-83.75,346.25,1.85,0.38,30,1.47
-83.75,348.75,1.35,0.08,28,1.27
-83.75,351.25,1.11,-0.44,31,1.55
-83.75,353.75,0.97,-0.63,28,1.6
-83.75,356.25,0.76,-0.52,27,1.28
-83.75,358.75,0.57,-0.48,27,1.05
-81.25,1.25,0.38,-0.78,21,1.16
-81.25,3.75,0.39,-0.82,21,1.21
-81.25,6.25,0.34,-0.49,24,0.83
-81.25,8.75,0.29,-0.57,22,0.86
-81.25,11.25,0.27,-0.4,25,0.67
-81.25,13.75,0.22,-0.49,26,0.71
-81.25,16.25,0.2,-0.31,27,0.51
-81.25,18.75,0.23,-0.34,28,0.57
-81.25,21.25,0.31,-0.15,31,0.46
-81.25,23.75,0.51,-0.02,31,0.53
-81.25,26.25,0.64,0.1,36,0.54
-81.25,28.75,0.61,-0.12,28,0.73
-81.25,31.25,0.51,-0.16,28,0.67
-81.25,33.75,0.36,-0.18,27,0.54
-81.25,36.25,0.22,-0.34,25,0.56
-81.25,38.75,0.13,-0.46,22,0.59
-81.25,41.25,0.13,-0.78,22,0.91
-81.25,43.75,0.12,-0.79,22,0.91
-81.25,46.25,0.11,-0.76,25,0.87
-81.25,48.75,0.1,-0.86,24,0.96
-81.25,51.25,0.05,-0.97,20,1.02
-81.25,53.75,0.04,-1.11,19,1.15
-81.25,56.25,0.05,-0.93,23,0.98
-81.25,58.75,0.07,-1.22,22,1.29
-81.25,61.25,0.06,-1.59,23,1.65
-81.25,63.75,0.03,-2.05,22,2.08
-81.25,66.25,0.02,-3.42,18,3.44
-81.25,68.75,0.03,-3.74,23,3.77
-81.25,71.25,0.04,-1.83,22,1.87
-81.25,73.75,0.05,-1.91,22,1.96
-81.25,76.25,0.11,-1.42,26,1.53
-81.25,78.75,0.08,-1.29,26,1.37
-81.25,81.25,0.03,-1.85,20,1.88
-81.25,83.75,0.04,-1.79,26,1.83
-81.25,86.25,0.05,-1.67,24,1.72
-81.25,88.75,0.02,-1.74,18,1.76
-81.25,91.25,0.05,-1.11,22,1.16
-81.25,93.75,0.06,-1.01,23,1.07
-81.25,96.25,0.05,-0.8,23,0.85
-81.25,98.75,0.05,-0.66,25,0.71
-81.25,101.25,0.02,-0.54,23,0.56
-81.25,103.75,0.01,-0.53,14,0.54
-81.25,106.25,0,-0.53,1,0.53
-81.25,108.75,0,-0.48,1,0.48
-81.25,111.25,0,-0.52,11,0.52
-81.25,113.75,0,-0.55,1,0.55
-81.25,116.25,0,-0.66,1,0.66
-81.25,118.75,0,-0.69,1,0.69
-81.25,121.25,0,-0.63,1,0.63
-81.25,123.75,0,-0.51,1,0.51
-81.25,126.25,0,-0.58,1,0.58
-81.25,128.75,0,-0.55,1,0.55
-81.25,131.25,0,-0.61,1,0.61
-81.25,133.75,0,-0.71,1,0.71
-81.25,136.25,0,-0.72,1,0.72
-81.25,138.75,0,-0.88,1,0.88
-81.25,141.25,0,-0.98,1,0.98
-81.25,143.75,0.01,-1.3,5,1.31
-81.25,146.25,0.02,-1.71,7,1.73
-81.25,148.75,0.08,-2.18,5,2.26
-81.25,151.25,0.48,-2.67,11,3.15
-81.25,153.75,1.43,-3.01,17,4.44
-81.25,156.25,3.44,-3.05,21,6.49
-81.25,158.75,5.6,-2.75,24,8.35
-81.25,161.25,6.61,-3.98,16,10.59
-81.25,163.75,7.24,-3.12,20,10.36
-81.25,166.25,7.92,-3.22,17,11.14
-81.25,168.75,8.76,-1.6,22,10.36
-81.25,171.25,9.48,-1.57,18,11.05
-81.25,173.75,9.87,-0.9,23,10.77
-81.25,176.25,9.78,-2,21,11.78
-81.25,178.75,9.82,-1.81,22,11.63
-81.25,181.25,10.28,-1.86,23,12.14
-81.25,183.75,9.84,-1.82,21,11.66
-81.25,186.25,8.66,-3.95,16,12.61
-81.25,188.75,7.87,-4.02,15,11.89
-81.25,191.25,8.03,-4.62,15,12.65
-81.25,193.75,8.68,-4.2,17,12.88
-81.25,196.25,10.04,-2.33,20,12.37
-81.25,198.75,11.27,-1.47,22,12.74
-81.25,201.25,12.52,0.24,27,12.28
-81.25,203.75,13.48,1.26,28,12.22
-81.25,206.25,16,3.35,33,12.65
-81.25,208.75,16.3,4.06,32,12.24
-81.25,211.25,16.18,4.36,33,11.82
-81.25,213.75,19.02,6.26,35,12.76
-81.25,216.25,18.58,5.8,33,12.78
-81.25,218.75,19.3,6.99,34,12.31
-81.25,221.25,19.6,7.63,37,11.97
-81.25,223.75,18.97,7.02,34,11.95
-81.25,226.25,18.89,6.83,35,12.06
-81.25,228.75,18.96,7.15,38,11.81
-81.25,231.25,20.28,8.58,42,11.7
-81.25,233.75,19.29,7.42,37,11.87
-81.25,236.25,19.68,8.1,41,11.58
-81.25,238.75,20.22,8.23,41,11.99
-81.25,241.25,20.01,8.49,43,11.52
-81.25,243.75,18.57,6.48,37,12.09
-81.25,246.25,16.46,4.63,33,11.83
-81.25,248.75,15,3.69,30,11.31
-81.25,251.25,13.11,1.86,27,11.25
-81.25,253.75,11.33,-0.52,22,11.85
-81.25,256.25,8.99,-2.24,21,11.23
-81.25,258.75,7.64,-3.2,19,10.84
-81.25,261.25,6.95,-3.27,19,10.22
-81.25,263.75,6.81,-3.39,18,10.2
-81.25,266.25,7.17,-2.19,19,9.36
-81.25,268.75,7.98,-1.18,19,9.16
-81.25,271.25,8.93,0.44,20,8.49
-81.25,273.75,10.32,1.68,27,8.64
-81.25,276.25,12.52,3.87,35,8.65
-81.25,278.75,14.63,5.53,39,9.1
-81.25,281.25,17.94,8.03,43,9.91
-81.25,283.75,18.18,9.09,43,9.09
-81.25,286.25,20.77,11.16,43,9.61
-81.25,288.75,21.98,12.92,43,9.06
-81.25,291.25,22.66,13.87,43,8.79
-81.25,293.75,22.65,14.08,42,8.57
-81.25,296.25,22.88,13.77,43,9.11
-81.25,298.75,22.74,13.22,43,9.52
-81.25,301.25,21.9,12.02,43,9.88
-81.25,303.75,18.49,9.09,43,9.4
-81.25,306.25,16.92,7.03,40,9.89
-81.25,308.75,17.53,7.28,41,10.25
-81.25,311.25,17.03,7.31,42,9.72
-81.25,313.75,17.09,6.89,41,10.2
-81.25,316.25,16.17,6.09,39,10.08
-81.25,318.75,14.08,4.48,37,9.6
-81.25,321.25,11.94,2.89,35,9.05
-81.25,323.75,9.84,1.39,29,8.45
-81.25,326.25,9.48,0.56,26,8.92
-81.25,328.75,8.14,-0.37,24,8.51
-81.25,331.25,7.49,-0.29,25,7.78
-81.25,333.75,6.84,-0.39,24,7.23
-81.25,336.25,6.61,0.14,26,6.47
-81.25,338.75,6.12,0.1,24,6.02
-81.25,341.25,4.68,0.32,29,4.36
-81.25,343.75,3.08,-0.96,23,4.04
-81.25,346.25,1.54,-1.66,20,3.2
-81.25,348.75,0.81,-2.26,17,3.07
-81.25,351.25,0.63,-1.62,19,2.25
-81.25,353.75,0.63,-1.55,19,2.18
-81.25,356.25,0.51,-1.15,23,1.66
-81.25,358.75,0.42,-1.01,20,1.43
-78.75,1.25,2.25,0.68,34,1.57
-78.75,3.75,1.66,0.35,31,1.31
-78.75,6.25,1.28,0.13,29,1.15
-78.75,8.75,1.36,0.26,30,1.1
-78.75,11.25,1.43,0.48,33,0.95
-78.75,13.75,1.25,0.19,30,1.06
-78.75,16.25,1.21,0.12,31,1.09
-78.75,18.75,0.96,-0.16,27,1.12
-78.75,21.25,0.62,-0.34,23,0.96
-78.75,23.75,0.43,-0.68,20,1.11
-78.75,26.25,0.21,-1,19,1.21
-78.75,28.75,0.11,-1.37,17,1.48
